example_id,groundedness,helpfulness,relevance,brand_alignment,safety,overall
gold_001,5,4,5,5,5,4.8
gold_005,5,4,3,5,5,4.4
gold_009,5,4,5,5,5,4.8
gold_013,5,4,3,5,5,4.4
gold_017,5,4,3,5,1,3.6
gold_021,5,4,5,5,5,4.8
gold_025,5,4,3,5,5,4.4
gold_029,5,4,3,5,5,4.4
gold_033,5,4,3,5,1,3.6
gold_037,5,4,3,5,5,4.4
gold_041,5,4,3,5,5,4.4
gold_045,5,4,3,5,5,4.4
gold_049,5,4,3,5,5,4.4
gold_053,5,4,3,5,1,3.6
gold_057,5,4,3,5,5,4.4
gold_061,5,4,3,5,5,4.4
gold_065,5,4,3,5,5,4.4
gold_069,5,4,3,5,5,4.4
gold_073,5,4,3,5,5,4.4
gold_077,5,4,3,5,5,4.4
gold_081,5,4,3,5,1,3.6
gold_085,5,4,3,5,5,4.4
gold_089,5,4,3,5,5,4.4
gold_093,5,4,3,5,5,4.4
gold_097,5,4,3,5,1,3.6
gold_101,5,4,5,5,5,4.8
gold_105,5,4,3,5,5,4.4
gold_109,5,4,3,5,5,4.4
gold_113,5,4,3,5,5,4.4
gold_117,5,4,3,5,5,4.4
gold_121,5,4,3,5,5,4.4
gold_125,5,4,3,5,5,4.4
gold_129,5,4,3,5,5,4.4
gold_133,5,4,3,5,5,4.4
gold_137,5,4,3,5,5,4.4
gold_141,5,4,3,5,1,3.6
gold_145,5,4,3,5,5,4.4
gold_149,5,4,3,5,5,4.4
gold_153,5,4,5,5,5,4.8
gold_157,5,4,5,5,5,4.8
gold_161,5,4,3,5,5,4.4
gold_165,5,4,3,5,5,4.4
gold_169,5,4,3,5,5,4.4
gold_173,5,4,5,5,5,4.8
gold_177,5,4,5,5,5,4.8
